Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
347,Moses Brown,25,IND,C,9,0,5.1,1.4,2.2,.650,0.0,0.0,,1.4,2.2,.650,.650,0.3,0.6,.600,0.4,1.0,1.4,0.0,0.2,0.1,0.7,0.7,3.2,,brownmo01
347,Moses Brown,25,DAL,C,4,2,18.3,5.3,7.3,.724,0.0,0.0,,5.3,7.3,.724,.724,1.3,1.5,.833,2.0,5.8,7.8,0.5,1.0,0.8,1.3,2.8,11.8,,brownmo01
348,Lester Quiñones,24,2TM,SG,12,0,12.5,2.2,5.3,.413,0.9,2.9,.314,1.3,2.3,.536,.500,0.5,0.7,.750,0.3,0.8,1.2,1.5,0.3,0.2,1.2,1.2,5.8,,quinole01
348,Lester Quiñones,24,PHI,SG,4,0,4.3,1.0,2.0,.500,0.0,0.8,.000,1.0,1.3,.800,.500,0.3,0.3,1.000,0.8,0.3,1.0,0.3,0.0,0.0,1.0,0.0,2.3,,quinole01
348,Lester Quiñones,24,NOP,SG,8,0,16.6,2.8,6.9,.400,1.4,4.0,.344,1.4,2.9,.478,.500,0.6,0.9,.714,0.1,1.1,1.3,2.1,0.4,0.3,1.3,1.8,7.5,,quinole01
349,Simone Fontecchio,29,DET,SF,74,0,16.4,2.0,4.9,.398,1.0,3.0,.327,1.0,1.9,.507,.497,0.9,1.1,.831,0.7,2.2,2.9,0.9,0.4,0.2,0.7,1.3,5.8,,fontesi01
350,Dariq Whitehead,20,BRK,SF,19,0,12.4,2.0,4.9,.409,1.7,3.8,.444,0.3,1.1,.286,.581,0.2,0.3,.600,0.2,1.3,1.5,0.6,0.3,0.1,0.8,1.1,5.8,,whiteda01
351,Robert Williams,27,POR,C,20,3,17.6,2.5,3.9,.641,0.1,0.2,.333,2.5,3.8,.653,.647,0.8,0.9,.882,1.8,4.2,5.9,1.1,0.7,1.7,0.9,1.6,5.8,,williro04
352,Collin Gillespie,25,PHO,PG,32,8,13.5,2.0,4.7,.424,1.1,2.6,.429,0.9,2.1,.418,.543,0.6,0.6,.900,0.7,1.7,2.3,2.3,0.6,0.2,0.5,0.9,5.7,,gilleco01
353,Adem Bona,21,PHI,C,57,10,15.3,2.3,3.2,.705,0.0,0.0,.000,2.3,3.2,.709,.705,1.1,1.6,.670,1.6,2.6,4.1,0.5,0.4,1.2,1.1,2.1,5.6,,bonaad01
354,Moussa Diabaté,23,CHO,C,70,8,17.4,2.3,3.9,.601,0.0,0.1,.000,2.3,3.8,.613,.601,1.0,1.6,.598,2.6,3.5,6.1,0.8,0.6,0.6,0.8,1.5,5.6,,diabamo01
355,Aaron Holiday,28,HOU,PG,61,3,12.8,1.9,4.3,.436,1.1,2.9,.395,0.7,1.4,.517,.568,0.6,0.7,.829,0.2,1.1,1.3,1.3,0.3,0.2,0.6,1.0,5.5,,holidaa01
356,Jeff Green,38,HOU,PF,31,3,12.4,1.9,3.7,.513,0.9,2.4,.378,1.0,1.3,.756,.635,0.7,0.8,.808,0.3,1.5,1.8,0.6,0.2,0.1,0.3,1.0,5.4,,greenje02
357,Dean Wade,28,CLE,PF,59,30,21.2,1.9,4.6,.413,1.4,3.8,.360,0.5,0.8,.653,.561,0.3,0.5,.533,0.9,3.4,4.2,1.3,0.7,0.3,0.4,1.7,5.4,,wadede01
358,Shake Milton,28,2TM,SG,56,1,14.2,2.0,4.3,.460,0.7,1.8,.363,1.3,2.4,.533,.538,0.8,0.9,.792,0.5,1.3,1.8,1.8,0.4,0.1,0.7,1.2,5.3,,miltosh01
358,Shake Milton,28,BRK,SG,27,1,18.2,2.7,5.8,.465,1.0,2.7,.389,1.7,3.1,.529,.554,0.9,1.2,.758,0.6,1.3,1.9,2.4,0.6,0.0,0.7,1.6,7.4,,miltosh01
358,Shake Milton,28,LAL,SG,29,0,10.4,1.3,2.8,.451,0.3,1.0,.300,1.0,1.8,.538,.506,0.6,0.7,.850,0.5,1.3,1.8,1.2,0.3,0.1,0.6,0.8,3.4,,miltosh01
359,Bismack Biyombo,32,SAS,C,27,25,19.0,2.4,4.1,.595,0.0,0.0,,2.4,4.1,.595,.595,0.4,0.9,.400,1.6,4.0,5.6,1.1,0.6,0.9,1.0,1.9,5.3,,biyombi01
360,Kobe Bufkin,21,ATL,SG,10,0,12.4,1.8,4.7,.383,0.4,1.9,.211,1.4,2.8,.500,.426,1.3,1.8,.722,0.5,1.6,2.1,1.7,0.3,0.2,0.8,0.9,5.3,,bufkiko01
361,Jordan Goodwin,26,LAL,PG,28,5,18.3,2.1,4.6,.446,0.9,2.3,.381,1.2,2.4,.507,.538,0.3,0.4,.818,1.3,2.5,3.8,1.4,1.0,0.4,0.9,1.5,5.3,,goodwjo01
362,Jonathan Isaac,27,ORL,PF,70,0,15.3,1.8,4.5,.410,0.6,2.1,.262,1.3,2.4,.542,.471,1.0,1.5,.676,1.7,2.7,4.3,0.5,0.9,1.1,0.5,1.3,5.3,,isaacjo01
363,Kevin Love,36,MIA,PF,23,9,10.9,1.8,5.0,.357,1.0,2.9,.358,0.7,2.1,.354,.461,0.7,1.0,.696,1.0,3.1,4.1,1.0,0.7,0.2,0.6,0.9,5.3,,loveke01
364,Ben Sheppard,23,IND,SG,63,9,19.5,1.9,4.6,.418,1.1,3.2,.342,0.8,1.4,.591,.537,0.4,0.4,.889,0.7,2.1,2.8,1.3,0.6,0.2,0.3,2.0,5.3,,sheppbe01
365,Quenton Jackson,26,IND,PG,27,7,12.6,1.9,3.9,.481,0.6,1.3,.417,1.3,2.6,.514,.552,0.9,1.2,.727,0.5,0.9,1.4,1.9,0.6,0.2,0.6,1.5,5.2,,jacksqu01
366,Daeqwon Plowden,26,ATL,SG,5,0,8.0,1.8,2.6,.692,1.2,2.0,.600,0.6,0.6,1.000,.923,0.4,0.4,1.000,0.6,0.8,1.4,0.0,0.0,0.0,0.2,1.2,5.2,,plowdda01
367,Landry Shamet,27,NYK,SG,49,0,14.7,2.0,4.3,.455,1.1,2.9,.385,0.9,1.4,.600,.585,0.2,0.3,.571,0.2,1.0,1.2,0.6,0.4,0.0,0.4,1.0,5.2,,shamela01
368,Ben Simmons,28,2TM,PG,50,24,22.2,2.3,4.5,.520,0.0,0.0,,2.3,4.5,.520,.520,0.5,0.7,.727,0.9,3.9,4.8,5.7,0.8,0.5,2.0,2.1,5.1,,simmobe01
368,Ben Simmons,28,BRK,PG,33,24,25.0,2.8,5.2,.547,0.0,0.0,,2.8,5.2,.547,.547,0.5,0.8,.692,0.9,4.3,5.2,6.9,0.8,0.5,2.7,2.5,6.2,,simmobe01
368,Ben Simmons,28,LAC,PG,17,0,16.7,1.4,3.1,.434,0.0,0.0,,1.4,3.1,.434,.434,0.4,0.4,.857,0.9,3.1,3.9,3.2,0.7,0.4,0.8,1.4,3.1,,simmobe01
369,Javonte Green,31,2TM,SG,67,18,18.5,1.8,4.1,.433,0.7,2.0,.338,1.1,2.1,.525,.516,0.8,1.1,.724,0.9,2.4,3.2,0.8,0.9,0.4,0.5,1.4,5.1,,greenja02
369,Javonte Green,31,NOP,SG,50,18,21.8,2.0,4.5,.446,0.8,2.2,.352,1.2,2.3,.534,.531,1.0,1.3,.758,1.0,2.6,3.6,0.9,1.1,0.6,0.6,1.5,5.8,,greenja02
369,Javonte Green,31,CLE,SG,17,0,8.6,1.1,3.0,.373,0.5,1.6,.286,0.6,1.4,.478,.451,0.3,0.6,.500,0.5,1.7,2.2,0.5,0.5,0.0,0.2,0.9,3.0,,greenja02
370,Alex Reese,25,2TM,PF,15,0,14.4,1.7,3.6,.481,1.0,2.7,.366,0.7,0.9,.846,.620,0.6,0.8,.750,0.6,2.5,3.1,0.3,0.7,0.7,0.4,1.4,5.1,,reeseal01
370,Alex Reese,25,OKC,PF,1,0,2.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,,reeseal01
370,Alex Reese,25,PHI,PF,14,0,15.3,1.8,3.8,.472,1.1,2.9,.366,0.7,0.9,.833,.613,0.6,0.9,.750,0.6,2.7,3.3,0.3,0.7,0.7,0.4,1.5,5.3,,reeseal01
371,Monte Morris,29,PHO,PG,44,0,12.5,1.8,4.3,.426,0.7,1.9,.354,1.2,2.4,.481,.503,0.8,1.0,.857,0.3,1.2,1.5,1.6,0.5,0.1,0.5,0.5,5.1,,morrimo01
372,Mitchell Robinson,26,NYK,C,17,3,17.1,2.2,3.3,.661,0.0,0.0,,2.2,3.3,.661,.661,0.8,1.1,.684,3.1,2.9,5.9,0.8,0.9,1.1,0.6,1.5,5.1,,robinmi01
373,Jabari Walker,22,POR,SF,59,1,12.3,1.9,3.7,.518,0.5,1.2,.389,1.5,2.5,.581,.582,0.8,1.2,.681,1.0,2.5,3.5,0.6,0.6,0.1,0.6,1.5,5.1,,walkeja01
374,Keaton Wallace,25,ATL,PG,30,4,15.5,1.9,4.7,.408,0.9,2.5,.347,1.1,2.2,.478,.500,0.4,0.4,1.000,0.2,1.1,1.3,2.2,0.8,0.3,1.0,1.2,5.1,,wallake01
375,Neemias Queta,25,BOS,C,61,6,13.7,2.1,3.2,.662,0.0,0.0,.000,2.1,3.2,.672,.662,0.8,1.0,.754,1.4,2.3,3.8,0.7,0.3,0.7,0.7,1.7,5.0,,quetane01
376,Alondes Williams,25,DET,SG,1,0,4.0,2.0,2.0,1.000,1.0,1.0,1.000,1.0,1.0,1.000,1.250,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,,willial06
377,Jaylen Martin,21,2TM,SF,16,0,14.9,1.9,4.6,.419,0.4,1.4,.304,1.5,3.2,.471,.466,0.6,0.6,.900,0.7,2.1,2.8,1.1,0.6,0.0,0.8,0.9,4.9,,martija02
377,Jaylen Martin,21,BRK,SF,3,0,1.7,0.3,0.7,.500,0.3,0.3,1.000,0.0,0.3,.000,.750,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,,martija02
377,Jaylen Martin,21,WAS,SF,13,0,18.0,2.3,5.5,.417,0.5,1.7,.273,1.8,3.8,.480,.458,0.7,0.8,.900,0.8,2.5,3.4,1.3,0.7,0.0,0.9,1.0,5.8,,martija02
378,Malaki Branham,21,SAS,SG,46,0,8.9,1.8,4.0,.446,0.7,1.8,.398,1.1,2.2,.485,.535,0.5,0.7,.806,0.1,0.9,1.0,0.8,0.2,0.0,0.7,0.6,4.9,,branhma01
379,Jamal Cain,25,NOP,SF,36,0,13.2,1.7,4.0,.431,0.7,2.1,.329,1.0,1.9,.544,.517,0.8,1.2,.690,0.7,1.6,2.3,0.6,0.6,0.3,0.6,1.2,4.9,,cainja01
380,Trevelin Queen,27,ORL,SG,31,2,13.9,1.8,4.7,.381,0.7,2.5,.286,1.1,2.3,.486,.456,0.6,0.7,.857,0.8,0.9,1.7,1.2,1.0,0.3,0.7,1.2,4.9,,queentr01
381,Kai Jones,24,2TM,C,39,6,11.3,2.1,2.6,.804,0.0,0.1,.250,2.1,2.5,.827,.809,0.6,0.8,.733,1.0,2.0,3.0,0.6,0.4,0.6,0.4,1.3,4.8,,joneska01
381,Kai Jones,24,LAC,C,28,0,7.4,0.9,1.3,.722,0.0,0.1,.000,0.9,1.2,.765,.722,0.3,0.4,.750,0.5,1.1,1.6,0.4,0.2,0.5,0.4,0.8,2.2,,joneska01
381,Kai Jones,24,DAL,C,11,6,21.3,5.1,6.0,.848,0.1,0.2,.500,5.0,5.8,.859,.856,1.2,1.6,.722,2.1,4.4,6.5,1.2,0.7,0.9,0.5,2.5,11.5,,joneska01
382,David Roddy,23,3TM,PF,32,3,12.7,1.7,3.8,.447,0.6,1.9,.311,1.1,1.9,.581,.524,0.6,0.8,.833,0.4,2.2,2.6,1.1,0.4,0.3,0.7,0.6,4.7,,roddyda01
382,David Roddy,23,ATL,PF,27,3,12.8,1.6,3.4,.473,0.6,1.6,.372,1.0,1.9,.560,.559,0.7,0.8,.818,0.4,2.2,2.6,1.1,0.4,0.3,0.7,0.7,4.5,,roddyda01
382,David Roddy,23,PHI,PF,3,0,9.7,2.7,6.3,.421,0.7,3.7,.182,2.0,2.7,.750,.474,0.0,0.0,,0.7,2.3,3.0,1.0,0.7,0.0,0.3,0.3,6.0,,roddyda01
382,David Roddy,23,HOU,PF,2,0,15.5,1.5,5.5,.273,0.5,3.5,.143,1.0,2.0,.500,.318,1.0,1.0,1.000,0.0,2.0,2.0,1.0,0.0,0.5,0.5,0.5,4.5,,roddyda01
383,Lindy Waters III,27,2TM,SG,51,9,14.6,1.7,4.6,.369,1.1,3.3,.341,0.5,1.2,.444,.494,0.2,0.2,.727,0.4,1.6,2.0,1.0,0.5,0.2,0.4,1.2,4.7,,waterli01
383,Lindy Waters III,27,GSW,SG,38,9,17.2,2.0,5.4,.371,1.3,3.9,.331,0.7,1.5,.474,.490,0.2,0.3,.727,0.4,2.1,2.5,1.1,0.6,0.3,0.4,1.4,5.5,,waterli01
