Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
122,Gerald Henderson,2010,2015,6,391,10756,1783,4029,140,453,995,1253,250,1320,822,279,149,509,714,4701,.443,.309,.794,27.5,12.0,3.4,2.1,0.7,0.4,hendege02
123,Steve Henson,1994,1994,1,3,17,1,2,1,1,0,0,0,1,5,0,0,1,3,3,.500,1.000,,5.7,1.0,0.3,1.7,0.0,0.0,hensost01
124,Willy Hernangómez,2018,2020,3,111,1449,269,517,24,68,184,265,199,561,101,36,36,97,162,746,.520,.353,.694,13.1,6.7,5.1,0.9,0.3,0.3,hernawi01
125,Walter Herrmann,2007,2008,2,65,1110,199,395,62,141,50,63,38,175,30,21,7,36,88,510,.504,.440,.794,17.1,7.8,2.7,0.5,0.3,0.1,herrmwa01
126,Roy Hibbert,2017,2017,1,42,671,78,144,0,0,61,75,53,150,20,8,44,31,97,217,.542,,.813,16.0,5.2,3.6,0.5,0.2,1.0,hibbero01
127,Cory Higgins,2012,2013,2,44,455,58,179,5,25,43,62,8,38,41,8,6,39,45,164,.324,.200,.694,10.3,3.7,0.9,0.9,0.2,0.1,higgico01
128,Donald Hodge,1996,1996,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,1.0,0.0,0.5,0.0,0.0,0.0,hodgedo01
129,Ryan Hollins,2007,2009,3,105,901,85,165,0,0,105,161,83,174,19,17,54,51,170,275,.515,,.652,8.6,2.6,1.7,0.2,0.2,0.5,holliry01
130,Michael Holton,1989,1990,2,83,1805,229,530,3,14,121,145,31,107,440,67,12,132,184,582,.432,.214,.834,21.7,7.0,1.3,5.3,0.8,0.1,holtomi01
131,Derek Hood,2000,2000,1,2,4,0,3,0,0,0,0,0,1,0,0,0,0,0,0,.000,,,2.0,0.0,0.5,0.0,0.0,0.0,hoodde01
132,Dave Hoppen,1989,1991,3,106,1666,233,426,1,3,117,159,156,450,66,29,23,97,283,584,.547,.333,.736,15.7,5.5,4.2,0.6,0.3,0.2,hoppeda01
133,Eddie House,2005,2005,1,13,300,61,135,12,29,10,13,2,19,24,24,3,13,23,144,.452,.414,.769,23.1,11.1,1.5,1.8,1.8,0.2,houseed01
134,Dwight Howard,2018,2018,1,81,2463,506,911,1,7,334,582,255,1012,105,48,131,208,249,1347,.555,.143,.574,30.4,16.6,12.5,1.3,0.6,1.6,howardw01
