Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
132,Maciej Lampe,2005,2006,2,23,277,32,87,0,1,7,10,16,61,12,4,5,8,33,71,.368,.000,.700,12.0,3.1,2.7,0.5,0.2,0.2,lampema01
133,Carl Landry,2011,2012,2,64,1601,289,565,0,4,205,257,116,308,51,23,24,91,160,783,.512,.000,.798,25.0,12.2,4.8,0.8,0.4,0.4,landrca01
134,Walt Lemon Jr.,2018,2018,1,5,35,7,16,1,1,2,3,0,2,5,0,1,4,5,17,.438,1.000,.667,7.0,3.4,0.4,1.0,0.0,0.2,lemonwa01
135,Kira Lewis Jr.,2021,2024,4,118,1624,245,623,70,232,82,96,30,157,214,64,14,78,137,642,.393,.302,.854,13.8,5.4,1.3,1.8,0.5,0.1,lewiski01
136,E.J. Liddell,2024,2024,1,8,23,1,6,0,5,2,2,0,5,1,2,2,2,2,4,.167,.000,1.000,2.9,0.5,0.6,0.1,0.3,0.3,liddeej01
137,DeAndre Liggins,2018,2018,1,27,244,18,41,8,17,0,0,2,26,21,10,4,7,20,44,.439,.471,,9.0,1.6,1.0,0.8,0.4,0.1,liggide01
138,Randy Livingston,2003,2003,1,2,12,2,4,0,0,2,2,0,0,1,0,0,0,0,6,.500,,1.000,6.0,3.0,0.0,0.5,0.0,0.0,livinra01
139,Robin Lopez,2013,2013,1,82,2136,384,719,0,0,161,207,226,462,64,32,128,110,167,929,.534,,.778,26.0,11.3,5.6,0.8,0.4,1.6,lopezro01
140,Didi Louzada,2021,2022,2,5,63,3,16,2,11,0,0,3,5,4,2,0,3,5,8,.188,.182,,12.6,1.6,1.0,0.8,0.4,0.0,louzama01
141,George Lynch,2003,2005,3,203,4131,364,923,82,255,92,148,290,839,309,146,49,173,378,902,.394,.322,.622,20.3,4.4,4.1,1.5,0.7,0.2,lynchge01
142,Arvydas Macijauskas,2006,2006,1,19,135,14,41,3,12,13,15,3,10,5,7,0,8,10,44,.341,.250,.867,7.1,2.3,0.5,0.3,0.4,0.0,macijar01
143,Jamaal Magloire,2003,2005,3,187,5923,786,1671,0,4,658,915,607,1776,203,100,235,418,628,2230,.470,.000,.719,31.7,11.9,9.5,1.1,0.5,1.3,magloja01
144,Will Magnay,2021,2021,1,1,3,0,1,0,1,0,0,0,0,0,0,0,1,1,0,.000,.000,,3.0,0.0,0.0,0.0,0.0,0.0,magnawi01
145,Sean Marks,2009,2010,2,74,913,84,173,2,10,32,49,76,210,16,7,36,37,138,202,.486,.200,.653,12.3,2.7,2.8,0.2,0.1,0.5,marksse01
146,Naji Marshall,2021,2024,4,230,4484,608,1416,174,556,333,429,154,809,467,162,44,246,331,1723,.429,.313,.776,19.5,7.5,3.5,2.0,0.7,0.2,marshna01
147,Jamal Mashburn,2003,2004,2,101,4051,826,1984,138,373,378,449,85,615,509,97,22,267,238,2168,.416,.370,.842,40.1,21.5,6.1,5.0,1.0,0.2,mashbja01
148,Desmond Mason,2006,2007,2,145,4677,682,1590,1,6,420,625,188,643,181,94,39,305,310,1785,.429,.167,.672,32.3,12.3,4.4,1.2,0.6,0.3,masonde01
149,Roger Mason,2013,2013,1,69,1219,132,305,66,159,39,43,11,132,74,26,11,51,104,369,.433,.415,.907,17.7,5.3,1.9,1.1,0.4,0.2,masonro01
150,Karlo Matković,2025,2025,1,42,791,135,235,21,66,34,44,64,209,46,22,41,43,106,325,.574,.318,.773,18.8,7.7,5.0,1.1,0.5,1.0,matkoka01
151,CJ McCollum,2022,2025,4,223,7518,1761,3898,692,1739,490,652,155,942,1113,212,104,456,447,4704,.452,.398,.752,33.7,21.1,4.2,5.0,1.0,0.5,mccolcj01
152,Dominic McGuire,2013,2013,1,9,145,9,21,0,0,1,2,7,28,9,8,3,5,13,19,.429,,.500,16.1,2.1,3.1,1.0,0.9,0.3,mcguido01
153,Gal Mekel,2015,2015,1,4,43,3,20,0,3,0,0,0,1,13,2,0,2,1,6,.150,.000,,10.8,1.5,0.3,3.3,0.5,0.0,mekelga01
154,Nicolò Melli,2020,2021,2,82,1283,151,382,76,243,60,80,50,237,107,43,24,53,152,438,.395,.313,.750,15.6,5.3,2.9,1.3,0.5,0.3,mellini01
155,Pops Mensah-Bonsu,2011,2011,1,7,35,1,3,0,0,0,0,3,11,2,0,0,2,11,2,.333,,,5.0,0.3,1.6,0.3,0.0,0.0,mensapo01
156,Darius Miller,2013,2019,5,253,5161,523,1252,327,856,151,182,49,423,346,110,61,163,510,1524,.418,.382,.830,20.4,6.0,1.7,1.4,0.4,0.2,milleda01
157,Nikola Mirotić,2018,2019,2,62,1797,345,789,151,428,132,159,87,510,76,50,51,68,149,973,.437,.353,.830,29.0,15.7,8.2,1.2,0.8,0.8,mirotni01
158,Yves Missi,2025,2025,1,73,1956,269,492,0,1,127,204,255,601,99,37,98,82,145,665,.547,.000,.623,26.8,9.1,8.2,1.4,0.5,1.3,missiyv01
159,Jérôme Moïso,2003,2003,1,51,644,89,171,0,0,27,41,59,178,22,19,44,46,87,205,.520,,.659,12.6,4.0,3.5,0.4,0.4,0.9,moisoje01
160,E'Twaun Moore,2017,2020,4,264,6889,1148,2420,344,852,181,246,156,648,531,201,63,263,505,2821,.474,.404,.736,26.1,10.7,2.5,2.0,0.8,0.2,mooreet01
161,Anthony Morrow,2014,2014,1,76,1426,238,520,88,195,72,87,29,140,59,38,12,51,102,636,.458,.451,.828,18.8,8.4,1.8,0.8,0.5,0.2,morroan01
162,Donatas Motiejūnas,2017,2017,1,34,479,57,138,11,47,25,49,26,101,32,18,11,31,55,150,.413,.234,.510,14.1,4.4,3.0,0.9,0.5,0.3,motiedo01
163,Trey Murphy III,2022,2025,4,251,6856,1152,2537,600,1566,544,622,195,976,462,219,117,214,397,3448,.454,.383,.875,27.3,13.7,3.9,1.8,0.9,0.5,murphtr02
164,Dejounte Murray,2025,2025,1,31,1012,194,494,52,174,102,124,17,200,228,63,12,106,61,542,.393,.299,.823,32.6,17.5,6.5,7.4,2.0,0.4,murrade01
165,Boštjan Nachbar,2005,2006,2,80,1542,188,492,82,232,113,141,24,201,87,41,21,88,205,571,.382,.353,.801,19.3,7.1,2.5,1.1,0.5,0.3,nachbbo01
166,Lee Nailon,2005,2005,1,68,2017,415,869,0,2,133,165,128,298,109,36,16,110,190,963,.478,.000,.806,29.7,14.2,4.4,1.6,0.5,0.2,nailole01
167,Larry Nance Jr.,2022,2024,3,135,2779,351,595,45,115,110,148,214,700,240,122,63,101,248,857,.590,.391,.743,20.6,6.3,5.2,1.8,0.9,0.5,nancela02
168,Jameer Nelson,2018,2018,1,43,897,84,205,40,110,13,17,11,96,156,23,3,56,67,221,.410,.364,.765,20.9,5.1,2.2,3.6,0.5,0.1,nelsoja01
169,Moochie Norris,2006,2006,1,16,183,20,47,4,9,16,25,3,20,21,6,0,17,18,60,.426,.444,.640,11.4,3.8,1.3,1.3,0.4,0.0,norrimo01
170,Jaylen Nowell,2025,2025,1,8,168,26,73,8,27,7,11,6,20,18,1,4,8,9,67,.356,.296,.636,21.0,8.4,2.5,2.3,0.1,0.5,nowelja01
171,James Nunnally,2021,2021,1,9,48,5,13,4,12,1,2,2,9,3,0,0,2,1,15,.385,.333,.500,5.3,1.7,1.0,0.3,0.0,0.0,nunnaja01
172,Emeka Okafor,2010,2018,4,207,5791,810,1489,0,1,355,628,598,1759,129,118,305,280,551,1975,.544,.000,.565,28.0,9.5,8.5,0.6,0.6,1.5,okafoem01
173,Jahlil Okafor,2019,2020,2,89,1402,313,524,2,8,99,151,130,405,77,22,62,90,163,727,.597,.250,.656,15.8,8.2,4.6,0.9,0.2,0.7,okafoja01
174,Kelly Olynyk,2025,2025,1,20,508,75,150,14,36,49,65,37,117,72,17,11,41,64,213,.500,.389,.754,25.4,10.7,5.9,3.6,0.9,0.6,olynyke01
175,Arinze Onuaku,2014,2014,1,3,25,1,4,0,0,1,2,2,7,3,0,0,1,3,3,.250,,.500,8.3,1.0,2.3,1.0,0.0,0.0,onuakar01
176,Robert Pack,2003,2003,1,28,440,52,129,0,5,41,55,11,51,81,25,0,40,35,145,.403,.000,.745,15.7,5.2,1.8,2.9,0.9,0.0,packro01
177,Jannero Pargo,2007,2008,2,162,3207,537,1344,146,395,175,203,46,310,395,103,9,215,244,1395,.400,.370,.862,19.8,8.6,1.9,2.4,0.6,0.1,pargoja01
178,Chris Paul,2006,2011,6,425,15761,2793,5929,379,1055,1971,2310,304,1951,4228,1010,36,1065,1083,7936,.471,.359,.853,37.1,18.7,4.6,9.9,2.4,0.1,paulch01
179,Sasha Pavlović,2011,2011,1,4,50,2,11,0,5,0,0,0,6,6,0,4,1,4,4,.182,.000,,12.5,1.0,1.5,1.5,0.0,1.0,pavloal01
180,Elfrid Payton,2019,2025,2,60,1638,216,513,34,111,59,81,63,286,466,62,25,164,105,525,.421,.306,.728,27.3,8.8,4.8,7.8,1.0,0.4,paytoel01
181,Kendrick Perkins,2016,2016,1,37,542,40,75,0,0,11,25,25,128,31,11,11,41,64,91,.533,,.440,14.6,2.5,3.5,0.8,0.3,0.3,perkike01
182,Morris Peterson,2008,2010,3,165,3284,404,1000,208,543,110,158,66,416,124,87,14,83,257,1126,.404,.383,.696,19.9,6.8,2.5,0.8,0.5,0.1,petermo01
183,Quincy Pondexter,2011,2015,2,111,1987,213,492,92,221,74,100,56,226,94,31,29,57,166,592,.433,.416,.740,17.9,5.3,2.0,0.8,0.3,0.3,pondequ01
184,James Posey,2009,2010,2,152,3871,342,869,197,556,186,226,70,691,199,100,40,130,420,1067,.394,.354,.823,25.5,7.0,4.5,1.3,0.7,0.3,poseyja01
185,Lester Quiñones,2025,2025,1,9,166,27,70,13,41,10,12,1,15,23,3,2,10,18,77,.386,.317,.833,18.4,8.6,1.7,2.6,0.3,0.2,quinole01
186,Julius Randle,2019,2019,1,73,2232,571,1089,67,195,356,487,162,634,229,52,45,208,246,1565,.524,.344,.731,30.6,21.4,8.7,3.1,0.7,0.6,randlju01
