Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
14,Ron Anderson,1994,1994,1,11,176,15,43,4,12,10,12,8,26,6,5,2,1,9,44,.349,.333,.833,16.0,4.0,2.4,0.5,0.5,0.2,anderro01
15,Ryan Anderson,2009,2009,1,66,1312,160,407,69,189,98,116,104,311,52,44,20,63,157,487,.393,.365,.845,19.9,7.4,4.7,0.8,0.7,0.3,anderry01
16,Tiny Archibald,1977,1977,1,34,1277,250,560,,,197,251,22,80,254,59,11,,77,697,.446,,.785,37.6,20.5,2.4,7.5,1.7,0.3,architi01
17,Jim Ard,1971,1973,3,186,2598,386,875,2,15,190,309,284,853,88,,,235,319,964,.441,.133,.615,14.0,5.2,4.6,0.5,,,ardji01
18,Brandon Armstrong,2002,2004,3,108,699,101,287,25,75,12,20,22,63,24,22,4,37,83,239,.352,.333,.600,6.5,2.2,0.6,0.2,0.2,0.0,armstbr01
19,Darrell Armstrong,2008,2008,1,50,549,40,110,23,69,20,30,17,67,73,28,2,41,53,123,.364,.333,.667,11.0,2.5,1.3,1.5,0.6,0.0,armstda01
20,Bob Arnzen,1970,1970,1,13,98,19,48,0,1,2,6,12,22,5,,,8,11,40,.396,.000,.333,7.5,3.1,1.7,0.4,,,arnzebo01
21,Vincent Askew,1997,1997,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,7.0,0.0,0.0,0.0,0.0,0.0,askewvi01
22,Johnny Austin,1968,1968,1,41,692,108,279,0,11,101,140,,64,58,,,57,110,317,.387,.000,.721,16.9,7.7,1.6,1.4,,,austijo01
23,Bird Averitt,1978,1978,1,21,409,69,188,,,36,45,7,33,68,17,1,55,37,174,.367,,.800,19.5,8.3,1.6,3.2,0.8,0.0,averibi01
24,John Bagley,1988,1989,2,150,4416,593,1377,58,215,237,303,97,401,870,182,15,360,279,1481,.431,.270,.782,29.4,9.9,2.7,5.8,1.2,0.1,baglejo01
25,James Bailey,1982,1987,3,107,1880,351,697,0,0,193,295,161,486,74,52,100,180,362,895,.504,,.654,17.6,8.4,4.5,0.7,0.5,0.9,baileja01
